Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V	SBS96W	SBS96X
BRCA_TCGA-AR-A1AO	1	4	6	3	4	0	3	0	2	3	4	3	2	7	7	10	0	17	4	9	0	30	0	3
BRCA_TCGA-AR-A1AP	1	5	4	5	6	3	0	0	2	0	0	0	1	0	7	2	0	9	1	0	0	0	2	3
BRCA_TCGA-AR-A1AQ	0	2	1	6	0	1	0	0	0	4	6	2	0	0	2	1	0	2	0	5	0	7	0	2
BRCA_TCGA-AR-A1AR	2	6	0	3	3	0	0	0	2	0	0	0	7	2	0	3	0	8	4	9	0	2	5	7
BRCA_TCGA-AR-A1AS	1	4	3	0	1	2	0	0	1	0	3	1	1	0	0	15	0	3	0	0	0	4	1	1
BRCA_TCGA-AR-A1AT	0	2	1	4	0	1	2	0	0	1	1	2	1	2	0	1	2	1	0	4	0	7	0	0
BRCA_TCGA-AR-A1AU	0	3	0	1	5	0	0	0	2	2	0	0	0	0	5	0	0	1	0	2	0	4	1	0
BRCA_TCGA-AR-A1AV	1	7	3	2	6	0	2	0	0	3	0	0	2	0	9	2	0	2	0	0	1	2	1	6
BRCA_TCGA-AR-A1AW	1	3	0	5	0	5	2	0	1	4	0	0	3	0	1	2	3	1	0	1	0	3	4	2
BRCA_TCGA-AR-A1AX	0	2	4	1	2	0	0	0	0	1	2	0	1	0	7	0	1	1	0	1	0	0	4	5
BRCA_TCGA-AR-A1AY	1	3	3	6	7	3	0	0	0	6	3	0	5	1	4	7	0	7	0	3	2	8	1	2
BRCA_TCGA-AR-A24H	8	3	0	4	7	2	2	0	0	3	6	5	12	5	5	3	5	23	0	6	3	34	11	5
BRCA_TCGA-AR-A24K	0	1	2	1	3	0	0	3	3	0	4	1	2	0	0	0	1	0	0	3	0	4	3	3
BRCA_TCGA-AR-A24L	0	2	0	1	1	2	0	0	2	0	0	1	4	0	2	0	2	6	1	6	4	14	3	2
BRCA_TCGA-AR-A24M	0	2	0	1	2	0	0	1	0	3	0	2	0	3	0	2	0	0	0	1	4	2	2	0
BRCA_TCGA-AR-A24N	0	3	0	6	4	2	0	1	1	0	3	3	3	0	4	9	0	0	0	3	2	3	0	0
BRCA_TCGA-AR-A24O	1	0	0	4	3	2	0	0	0	1	2	0	0	0	2	0	2	1	0	0	0	2	1	1
BRCA_TCGA-AR-A24P	0	2	3	0	2	0	0	0	1	0	2	0	1	2	1	0	0	0	0	4	0	0	1	0
BRCA_TCGA-AR-A24Q	5	5	4	2	2	6	4	3	4	5	14	1	4	10	15	18	10	23	2	15	10	58	11	1
BRCA_TCGA-AR-A24R	0	3	1	4	2	0	0	1	0	4	2	0	4	0	0	2	0	0	0	0	0	3	0	0
BRCA_TCGA-AR-A24S	1	4	2	5	5	0	0	1	5	0	0	1	2	1	6	6	8	5	0	0	0	4	1	0
BRCA_TCGA-AR-A24T	0	2	2	4	3	0	0	0	0	1	0	0	2	0	0	2	0	1	0	1	2	0	0	4
BRCA_TCGA-AR-A24U	0	4	3	1	3	0	0	0	0	0	1	0	0	1	4	8	0	10	0	2	3	0	4	0
BRCA_TCGA-AR-A24V	0	3	3	4	0	0	0	0	1	2	0	0	0	0	0	2	1	3	0	0	2	2	4	1
BRCA_TCGA-AR-A24W	0	1	1	0	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0	3	0	0	2	0
BRCA_TCGA-AR-A24X	0	3	4	1	4	1	0	0	1	3	0	0	1	1	3	0	0	0	1	0	0	0	0	11
BRCA_TCGA-AR-A24Z	0	3	2	5	3	0	0	0	0	1	6	1	2	0	0	4	2	3	0	0	0	8	1	15
BRCA_TCGA-AR-A250	4	9	12	11	8	2	0	3	2	1	4	0	9	2	10	6	1	52	0	0	0	4	1	14
BRCA_TCGA-AR-A251	5	4	0	5	2	2	0	3	0	10	0	6	15	11	10	0	8	34	3	11	1	54	13	8
BRCA_TCGA-AR-A252	0	2	0	5	0	1	0	0	0	2	1	0	0	0	3	0	5	0	0	0	0	0	0	0
BRCA_TCGA-AR-A254	1	3	4	4	5	1	0	0	0	0	0	0	0	0	6	3	0	2	0	1	0	2	5	5
BRCA_TCGA-AR-A255	6	2	6	6	1	2	0	0	1	4	4	2	0	2	1	13	0	23	0	8	1	0	0	7
BRCA_TCGA-AR-A256	4	5	5	3	4	3	3	3	4	5	6	1	15	4	9	14	4	18	5	19	4	58	16	12
BRCA_TCGA-AR-A2LE	11	2	30	4	3	0	0	0	0	0	5	0	0	0	42	163	0	128	0	0	6	0	0	0
BRCA_TCGA-AR-A2LH	1	3	6	1	2	0	0	1	1	0	0	0	0	1	13	23	0	18	0	0	0	0	1	0
BRCA_TCGA-AR-A2LK	0	5	2	6	5	0	0	4	2	1	2	0	3	0	4	5	0	0	0	0	0	2	2	5
BRCA_TCGA-AR-A2LL	2	1	2	5	11	0	0	0	0	1	0	1	4	0	2	0	3	0	0	1	0	3	0	1
BRCA_TCGA-AR-A2LM	0	0	2	0	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	1	0	5	1	2
BRCA_TCGA-AR-A2LN	0	2	5	3	1	0	0	1	3	0	0	0	1	0	17	13	0	6	0	0	1	0	1	0
BRCA_TCGA-AR-A2LO	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	0	2	4	0
BRCA_TCGA-AR-A2LQ	0	1	0	2	1	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	2	0	1
BRCA_TCGA-AR-A2LR	1	6	3	1	5	2	5	0	1	0	2	0	9	2	2	1	0	2	0	4	0	6	2	16
BRCA_TCGA-AR-A5QM	0	3	2	2	5	0	0	3	0	2	0	0	3	0	2	0	0	0	0	6	0	1	3	4
BRCA_TCGA-AR-A5QN	0	6	4	10	2	4	0	0	2	0	1	0	4	0	3	6	6	0	0	0	0	0	0	1
BRCA_TCGA-AR-A5QP	1	2	2	2	3	1	0	0	3	1	2	0	3	0	2	5	3	0	0	0	0	2	1	1
BRCA_TCGA-AR-A5QQ	1	2	1	7	1	6	1	0	6	4	3	0	5	0	0	6	6	8	4	11	1	19	4	0
BRCA_TCGA-B6-A0I1	0	2	5	4	15	0	0	0	3	0	4	0	2	0	1	7	2	1	0	0	6	17	7	4
BRCA_TCGA-B6-A0IH	0	8	3	2	2	2	0	0	1	0	1	3	2	2	4	1	1	0	0	1	2	0	5	1
BRCA_TCGA-B6-A0RH	0	0	2	1	7	0	2	0	0	0	3	2	0	0	2	11	2	7	0	0	0	4	2	0
BRCA_TCGA-B6-A0RL	1	4	3	9	2	2	0	0	2	0	8	0	3	1	0	18	0	5	2	7	1	1	0	0
BRCA_TCGA-B6-A0RM	0	3	2	4	4	3	2	0	1	0	0	1	0	0	0	9	4	0	0	0	0	1	0	2
BRCA_TCGA-B6-A0RN	0	3	2	4	4	2	0	1	1	2	2	0	0	0	0	3	2	0	1	0	0	4	0	2
BRCA_TCGA-B6-A0RO	0	1	5	2	0	2	0	1	0	3	5	0	7	2	0	3	0	1	1	0	0	9	1	0
BRCA_TCGA-B6-A0RP	0	3	0	3	0	0	0	0	1	1	2	0	5	0	4	0	1	0	0	0	0	1	4	5
BRCA_TCGA-B6-A0RQ	1	3	3	2	3	1	0	0	1	3	0	0	5	0	5	13	2	5	2	6	1	0	0	0
BRCA_TCGA-B6-A0RT	1	2	2	4	0	1	5	0	2	1	0	2	5	7	0	0	0	18	0	1	0	11	6	4
BRCA_TCGA-B6-A0RU	1	4	5	4	0	1	0	1	2	4	1	1	0	0	2	5	0	2	2	4	2	5	11	1
BRCA_TCGA-B6-A0RV	2	1	3	1	6	0	0	0	1	0	0	0	0	0	0	28	0	25	0	0	0	0	0	0
BRCA_TCGA-B6-A0WS	1	1	0	1	0	0	2	0	1	4	2	0	0	0	0	2	0	2	0	0	0	0	1	1
BRCA_TCGA-B6-A0WT	1	2	3	4	0	0	0	0	0	5	0	0	0	0	3	0	1	0	0	0	2	1	0	0
BRCA_TCGA-B6-A0WV	0	1	0	1	4	3	0	0	0	2	1	0	3	0	6	0	4	4	2	0	0	4	2	0
BRCA_TCGA-B6-A0WW	1	2	3	6	0	0	2	0	1	3	0	3	2	0	0	8	1	4	0	0	3	6	0	2
BRCA_TCGA-B6-A0WX	1	2	3	4	4	1	0	0	2	2	2	5	0	0	0	0	0	2	0	3	1	9	0	4
BRCA_TCGA-B6-A0WY	0	4	3	0	3	3	0	2	2	1	0	0	0	0	0	5	1	3	0	0	0	5	2	1
BRCA_TCGA-B6-A0WZ	1	2	6	1	1	0	0	0	0	0	3	1	0	0	4	48	0	23	0	0	2	3	0	0
BRCA_TCGA-B6-A0X0	1	0	2	4	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	2	2	2	1	5
BRCA_TCGA-B6-A0X1	1	1	5	3	0	3	0	2	4	5	5	0	8	0	9	0	5	16	0	0	0	21	3	1
BRCA_TCGA-B6-A0X4	2	0	6	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	1	1	0
BRCA_TCGA-B6-A0X5	5	2	7	0	1	0	0	0	3	3	4	1	0	1	0	4	3	1	0	4	7	2	0	0
BRCA_TCGA-B6-A0X7	0	1	2	2	3	3	0	0	0	1	0	0	2	0	0	4	0	1	0	2	0	0	0	2
BRCA_TCGA-B6-A1KN	5	4	0	3	4	1	1	1	2	3	6	0	4	4	7	1	2	4	0	7	1	3	2	7
BRCA_TCGA-B6-A2IU	0	5	8	5	0	4	0	0	1	3	0	2	2	0	2	16	0	1	0	3	2	0	0	0
BRCA_TCGA-B6-A401	0	4	2	1	2	1	0	0	0	0	2	0	4	0	0	0	1	1	1	6	0	0	2	1
BRCA_TCGA-B6-A409	0	4	3	4	5	0	0	0	0	2	2	0	4	3	4	2	8	4	1	0	2	3	0	5
BRCA_TCGA-B6-A40B	1	4	1	6	0	3	0	0	0	3	1	0	4	0	7	14	2	5	0	0	0	8	2	5
BRCA_TCGA-B6-A40C	2	3	0	6	14	1	0	0	0	2	0	2	1	0	3	5	0	1	0	6	2	4	0	2
BRCA_TCGA-BH-A0AU	0	2	0	1	3	2	0	0	0	0	1	0	0	3	1	1	0	3	1	0	0	0	1	4
BRCA_TCGA-BH-A0AV	1	2	2	0	1	4	4	2	4	4	3	0	14	0	6	0	0	13	0	1	0	18	6	2
BRCA_TCGA-BH-A0AY	1	2	5	2	4	0	0	0	1	0	3	2	4	2	0	5	0	2	0	2	4	2	4	1
BRCA_TCGA-BH-A0AZ	1	0	1	2	0	2	2	0	0	1	2	1	0	3	1	15	8	9	3	4	4	7	2	2
BRCA_TCGA-BH-A0B0	1	5	12	0	1	0	0	0	0	0	0	0	0	0	4	51	0	25	0	0	0	0	0	0
BRCA_TCGA-BH-A0B3	1	2	1	2	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	5	0	2
BRCA_TCGA-BH-A0B6	16	5	80	21	0	5	0	0	0	0	11	0	2	0	84	499	0	548	0	0	19	0	0	0
BRCA_TCGA-BH-A0B7	0	4	5	5	0	0	0	0	1	0	2	0	5	0	2	1	0	6	3	0	0	6	0	2
BRCA_TCGA-BH-A0B8	1	1	1	0	2	3	0	0	0	0	3	0	4	1	3	7	0	0	0	3	0	2	0	3
BRCA_TCGA-BH-A0BA	0	2	1	1	2	2	2	0	0	2	1	0	0	2	0	8	0	3	0	0	0	3	0	0
BRCA_TCGA-BH-A0BC	0	4	3	2	5	0	2	0	0	1	2	2	4	0	0	9	0	4	0	0	1	1	5	0
BRCA_TCGA-BH-A0BF	0	2	2	2	2	2	0	0	0	3	1	0	3	2	0	0	0	6	0	0	0	3	3	2
BRCA_TCGA-BH-A0BG	0	3	0	2	1	0	0	1	1	0	1	0	4	2	0	6	1	3	0	0	0	13	0	7
BRCA_TCGA-BH-A0BJ	0	1	1	0	1	0	0	0	1	0	2	0	0	2	1	0	0	0	0	0	1	0	3	4
BRCA_TCGA-BH-A0BL	2	3	3	3	4	0	0	0	0	0	0	4	3	2	0	0	8	2	0	6	1	20	0	8
BRCA_TCGA-BH-A0BM	1	1	0	1	0	0	0	0	1	0	2	0	3	0	0	4	0	0	0	0	4	0	2	0
BRCA_TCGA-BH-A0BO	0	1	2	2	2	2	0	0	0	9	2	0	1	0	1	0	0	5	0	2	0	0	2	0
BRCA_TCGA-BH-A0BP	3	7	13	12	8	5	0	1	1	1	6	0	10	3	19	11	5	36	0	4	6	24	11	10
BRCA_TCGA-BH-A0BQ	1	2	2	3	2	2	0	0	0	0	1	0	2	0	0	4	0	0	0	3	0	0	5	3
BRCA_TCGA-BH-A0BS	0	1	0	2	1	0	0	0	1	3	2	0	5	0	0	2	0	0	0	0	0	4	0	2
BRCA_TCGA-BH-A0BT	1	6	3	5	0	0	0	0	1	3	3	0	3	0	4	5	2	1	0	2	0	8	1	0
BRCA_TCGA-BH-A0BV	0	1	1	1	2	1	0	0	0	1	0	1	5	0	6	2	0	2	0	1	0	0	0	0
BRCA_TCGA-BH-A0BW	0	3	3	3	5	5	2	3	4	5	4	0	2	1	0	12	0	7	3	12	2	15	11	1
BRCA_TCGA-BH-A0BZ	11	10	2	3	6	11	4	1	7	5	5	3	20	6	9	6	17	32	4	18	11	78	9	18
BRCA_TCGA-BH-A0C0	0	2	2	2	0	0	0	6	0	3	0	4	0	0	2	4	2	1	0	3	0	11	3	3
BRCA_TCGA-BH-A0C1	0	6	2	3	4	6	0	0	1	0	5	0	5	0	0	10	0	0	1	0	0	0	0	7
BRCA_TCGA-BH-A0C3	0	0	1	0	4	0	0	0	3	1	1	0	2	2	0	0	0	0	0	1	0	1	0	2
BRCA_TCGA-BH-A0C7	0	3	2	3	9	4	2	3	1	1	0	2	4	0	1	0	1	4	0	0	0	0	2	16
BRCA_TCGA-BH-A0DD	0	6	3	2	5	0	0	0	3	1	1	0	3	0	2	4	0	3	0	0	0	1	2	1
BRCA_TCGA-BH-A0DE	1	0	1	0	3	1	0	0	2	0	0	2	8	2	3	3	0	0	0	5	0	2	0	0
BRCA_TCGA-BH-A0DG	1	0	6	1	1	4	0	1	1	2	1	0	3	1	1	4	1	9	2	0	2	3	0	3
BRCA_TCGA-BH-A0DH	0	4	4	5	5	2	2	0	0	3	5	0	1	0	1	14	0	3	1	0	2	0	0	0
BRCA_TCGA-BH-A0DI	0	5	1	2	4	0	0	1	0	1	0	0	0	0	5	9	1	12	0	0	7	10	4	0
BRCA_TCGA-BH-A0DK	2	1	1	4	4	0	0	0	3	1	0	3	0	2	2	3	0	3	0	6	9	6	2	1
BRCA_TCGA-BH-A0DL	1	7	3	6	2	4	0	0	1	3	1	0	0	2	0	15	5	6	3	0	0	3	0	3
BRCA_TCGA-BH-A0DO	0	3	3	0	1	0	0	0	1	0	2	1	2	0	0	3	1	4	0	4	0	1	4	0
BRCA_TCGA-BH-A0DP	0	0	1	2	0	0	0	0	1	1	1	0	1	0	0	7	0	0	0	0	0	3	0	2
BRCA_TCGA-BH-A0DQ	0	2	1	6	1	3	0	0	3	0	0	3	5	2	0	1	0	2	0	2	0	1	1	2
BRCA_TCGA-BH-A0DT	0	1	0	1	2	0	2	0	0	0	2	1	1	0	0	3	0	0	0	0	0	2	0	0
BRCA_TCGA-BH-A0DV	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	6	3	0	0	0	0	1	0	1
BRCA_TCGA-BH-A0DX	1	3	4	1	7	0	0	0	1	0	0	0	1	0	0	30	0	16	0	0	3	0	0	10
BRCA_TCGA-BH-A0DZ	4	1	14	2	2	0	4	0	0	1	0	0	0	1	13	64	0	107	0	0	4	0	0	0
BRCA_TCGA-BH-A0E0	0	2	2	4	3	0	0	2	0	0	0	0	1	0	3	0	1	1	2	0	0	2	1	0
BRCA_TCGA-BH-A0E1	0	1	3	0	4	0	0	0	0	0	0	1	1	0	0	1	2	5	0	0	0	1	0	0
BRCA_TCGA-BH-A0E9	0	4	1	7	1	0	0	1	0	1	3	0	0	2	2	1	0	0	0	2	0	3	0	0
BRCA_TCGA-BH-A0EA	0	3	3	1	2	4	0	0	0	1	1	0	3	0	0	4	3	2	0	0	0	0	1	4
BRCA_TCGA-BH-A0EI	0	2	1	3	2	0	0	0	1	2	1	1	5	0	2	0	0	0	0	0	2	1	0	1
BRCA_TCGA-BH-A0H3	0	1	0	0	4	0	0	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	2	3
BRCA_TCGA-BH-A0H5	6	1	14	0	1	0	0	0	0	0	0	0	7	0	14	58	0	64	0	0	4	0	0	0
BRCA_TCGA-BH-A0H7	1	1	1	0	4	0	0	1	1	2	0	2	0	0	1	0	0	3	0	0	0	0	0	0
BRCA_TCGA-BH-A0H9	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	3	3	0	3	0	0	3	0	5
BRCA_TCGA-BH-A0HA	0	37	12	29	45	35	0	7	62	31	13	11	12	0	0	25	29	19	5	6	4	0	0	0
BRCA_TCGA-BH-A0HI	2	1	2	5	3	1	2	0	3	0	0	0	3	0	0	8	0	1	0	0	1	2	0	1
BRCA_TCGA-BH-A0HK	0	5	5	1	4	0	0	0	0	0	3	0	4	0	5	22	0	10	0	3	1	0	0	0
BRCA_TCGA-BH-A0HN	0	2	4	5	3	0	0	0	0	1	0	0	3	2	0	6	0	1	0	2	0	3	2	0
BRCA_TCGA-BH-A0HP	11	2	18	4	5	0	0	2	0	0	0	0	0	1	32	121	0	161	0	0	0	0	0	0
BRCA_TCGA-BH-A0RX	0	3	6	14	5	2	0	0	1	3	2	0	0	0	0	4	0	2	0	1	0	4	1	1
BRCA_TCGA-BH-A0W3	1	0	0	4	0	0	0	0	0	2	1	0	2	0	0	3	0	2	0	3	0	2	2	1
BRCA_TCGA-BH-A0W4	0	1	5	1	3	0	2	0	2	2	0	0	0	0	4	5	2	3	0	1	0	5	3	0
BRCA_TCGA-BH-A0W5	1	3	2	2	2	0	0	0	2	2	3	0	1	3	0	0	0	1	0	0	0	3	1	3
BRCA_TCGA-BH-A0W7	3	1	14	3	1	2	0	0	0	5	0	1	5	0	0	101	0	122	0	0	3	0	0	0
BRCA_TCGA-BH-A0WA	3	1	0	6	2	2	0	3	1	5	6	0	6	0	13	10	2	7	0	0	4	27	15	0
BRCA_TCGA-BH-A18F	2	0	6	4	8	2	0	1	0	1	0	1	6	0	4	20	0	2	0	0	1	5	0	4
BRCA_TCGA-BH-A18G	18	178	37	127	126	176	0	93	246	192	130	86	45	9	14	1	71	9	18	45	0	11	36	0
BRCA_TCGA-BH-A18H	0	1	2	2	2	5	0	0	3	2	4	2	2	0	8	5	0	6	2	0	0	1	0	7
BRCA_TCGA-BH-A18I	0	5	4	4	1	0	0	0	1	0	2	0	0	0	0	5	0	2	0	1	2	1	2	1
BRCA_TCGA-BH-A18J	2	4	2	2	0	3	2	1	2	1	0	0	0	0	0	54	0	32	0	0	6	0	0	0
BRCA_TCGA-BH-A18K	1	2	4	3	0	0	0	0	3	1	2	3	5	0	4	14	1	13	2	2	0	5	3	0
BRCA_TCGA-BH-A18L	1	7	3	5	6	1	0	3	2	0	2	2	3	0	5	0	4	3	0	0	6	5	7	0
BRCA_TCGA-BH-A18M	0	1	1	4	0	1	0	0	0	0	0	0	0	0	2	1	5	3	0	0	0	0	0	0
BRCA_TCGA-BH-A18N	0	6	2	2	5	0	0	0	4	5	1	0	0	0	0	0	1	1	1	0	0	6	2	7
BRCA_TCGA-BH-A18P	1	5	32	5	6	0	0	4	0	0	4	0	0	0	39	166	0	173	0	0	3	0	0	0
BRCA_TCGA-BH-A18Q	1	1	1	1	3	4	0	3	0	1	2	0	5	2	5	0	10	9	1	7	1	25	10	15
BRCA_TCGA-BH-A18R	1	0	1	1	2	0	2	0	0	5	3	0	0	0	3	5	0	2	0	0	0	17	0	0
BRCA_TCGA-BH-A18S	1	2	2	0	1	1	0	1	4	1	2	1	0	0	2	0	0	3	0	4	2	3	7	0
BRCA_TCGA-BH-A18T	1	2	2	3	3	5	2	4	3	0	3	2	1	2	3	5	6	12	0	9	0	29	0	5
BRCA_TCGA-BH-A18U	0	5	6	12	6	2	0	4	0	6	8	3	8	0	0	59	3	33	0	3	8	12	0	0
BRCA_TCGA-BH-A18V	8	1	4	1	2	0	1	2	0	11	8	0	3	4	15	15	2	73	5	4	14	72	3	2
BRCA_TCGA-BH-A1EO	0	6	3	7	7	0	0	0	1	0	0	0	4	0	0	10	0	0	0	4	0	5	0	3
BRCA_TCGA-BH-A1ET	2	2	1	4	2	2	2	0	1	1	0	2	2	0	0	2	3	0	0	2	0	4	1	0
BRCA_TCGA-BH-A1EU	0	1	1	1	5	0	0	0	3	3	1	1	3	0	2	1	0	2	0	0	1	0	3	6
BRCA_TCGA-BH-A1EV	2	4	11	10	1	0	0	0	5	2	4	0	0	0	10	26	3	41	0	0	0	10	0	0
BRCA_TCGA-BH-A1EW	0	1	2	0	1	0	0	0	1	1	2	1	1	0	6	3	0	0	0	0	0	0	1	1
BRCA_TCGA-BH-A1EX	0	3	5	2	2	0	0	0	3	3	1	0	3	0	0	0	0	0	0	0	0	4	3	6
BRCA_TCGA-BH-A1EY	0	2	5	4	3	3	0	0	4	2	2	0	1	0	1	3	1	11	0	2	3	4	2	2
BRCA_TCGA-BH-A1F0	2	3	4	4	1	0	0	2	2	4	0	0	9	0	8	0	0	17	0	14	5	12	5	3
BRCA_TCGA-BH-A1F2	3	5	3	9	3	2	0	1	3	0	0	1	5	0	4	9	0	9	0	0	1	4	3	6
BRCA_TCGA-BH-A1F5	1	1	3	6	2	0	0	1	0	0	0	2	6	0	0	6	1	0	0	2	2	1	10	0
BRCA_TCGA-BH-A1F6	0	4	1	4	4	4	2	0	1	0	0	1	1	0	4	3	4	4	2	5	0	5	3	1
BRCA_TCGA-BH-A1F8	5	1	11	8	4	2	0	0	0	1	2	2	6	1	6	83	0	55	0	0	4	1	0	0
BRCA_TCGA-BH-A1FC	2	8	5	2	11	2	4	1	6	0	4	0	3	2	5	13	7	24	4	5	3	15	2	2
BRCA_TCGA-BH-A1FE	1	2	2	1	0	0	0	0	1	0	0	0	4	1	0	5	3	1	0	0	0	0	0	5
BRCA_TCGA-BH-A1FG	0	2	1	1	2	0	2	1	0	1	5	0	1	0	0	0	1	1	0	0	0	1	2	0
BRCA_TCGA-BH-A1FH	0	2	1	0	9	0	0	0	0	0	1	2	2	0	7	1	0	2	1	0	0	1	3	1
BRCA_TCGA-BH-A1FJ	0	1	1	5	7	2	2	0	0	0	1	0	12	1	3	3	0	0	0	0	0	0	0	7
BRCA_TCGA-BH-A1FL	0	3	2	2	1	0	0	0	0	2	0	2	4	0	1	2	2	0	0	3	2	0	0	0
BRCA_TCGA-BH-A1FM	0	5	7	3	5	1	0	0	2	0	0	0	0	5	0	13	0	9	0	6	1	4	1	0
BRCA_TCGA-BH-A1FN	2	2	1	3	1	0	3	0	1	3	2	2	7	5	0	34	0	47	4	10	8	7	2	2
BRCA_TCGA-BH-A1FR	0	2	1	1	1	0	0	0	0	2	1	0	0	0	1	0	0	1	0	1	0	5	0	1
BRCA_TCGA-BH-A1FU	2	5	6	2	4	3	2	1	5	7	3	1	7	0	8	0	9	18	5	2	5	17	6	0
BRCA_TCGA-BH-A201	2	1	2	2	0	0	0	1	1	5	3	0	0	2	1	3	2	0	0	0	0	2	0	0
BRCA_TCGA-BH-A202	2	2	1	2	2	0	0	0	2	1	3	0	0	0	0	3	0	0	0	0	2	6	2	0
BRCA_TCGA-BH-A203	1	7	9	10	10	1	0	4	0	2	6	0	5	0	0	13	6	16	0	2	0	3	0	4
BRCA_TCGA-BH-A204	2	4	3	2	3	0	0	1	2	1	3	1	6	0	4	0	1	5	0	0	0	6	4	4
BRCA_TCGA-BH-A208	0	1	4	7	3	0	0	0	1	3	1	0	7	0	6	15	0	25	0	3	0	5	0	1
BRCA_TCGA-BH-A209	1	0	7	3	0	2	0	0	0	0	0	0	4	0	5	25	0	62	0	1	5	0	4	0
BRCA_TCGA-BH-A28Q	0	4	1	4	2	2	0	0	0	0	3	0	1	0	0	2	0	2	2	0	0	1	0	2
BRCA_TCGA-BH-A2L8	7	1	30	3	7	0	0	0	0	0	5	0	0	0	29	263	0	283	0	0	0	0	0	0
BRCA_TCGA-BH-A42U	0	0	3	0	3	0	0	0	0	1	0	0	0	2	5	12	0	4	0	0	0	0	0	2
BRCA_TCGA-BH-A42V	0	0	5	3	2	0	0	0	1	0	0	0	2	0	0	24	0	18	0	0	0	0	0	0
BRCA_TCGA-BH-A5IZ	2	3	0	5	8	0	0	3	3	1	0	5	2	0	13	4	0	7	0	5	3	17	8	7
BRCA_TCGA-BH-A5J0	1	6	10	3	3	1	3	1	1	3	0	0	3	0	4	43	1	16	0	0	1	2	0	0
BRCA_TCGA-BH-A6R8	0	3	3	2	6	2	0	0	1	1	1	0	0	0	4	2	0	3	0	0	0	4	0	5
BRCA_TCGA-BH-A6R9	1	1	2	2	1	0	0	0	0	0	1	0	0	2	3	0	2	0	0	2	0	7	1	0
BRCA_TCGA-BH-A8FY	1	4	0	0	2	1	0	0	0	2	1	0	4	2	9	0	3	6	0	6	0	6	9	0
BRCA_TCGA-BH-A8FZ	2	6	2	2	3	4	2	1	4	2	0	1	0	2	0	10	9	5	3	0	0	20	7	6
BRCA_TCGA-BH-A8G0	0	1	2	3	0	1	0	0	1	1	0	0	0	0	1	0	4	0	1	2	0	0	0	0
BRCA_TCGA-BH-AB28	0	6	2	2	3	3	2	3	0	1	0	0	0	0	2	6	3	0	2	0	2	0	6	0
BRCA_TCGA-C8-A12K	2	4	1	0	7	3	0	1	3	5	1	0	16	0	6	4	6	54	2	1	8	37	12	0
BRCA_TCGA-C8-A12L	0	4	3	1	5	7	0	0	0	1	5	0	8	4	0	3	0	5	0	5	3	23	7	5
BRCA_TCGA-C8-A12M	0	5	7	6	7	5	6	3	2	2	2	2	4	0	6	0	1	2	0	6	0	9	5	2
BRCA_TCGA-C8-A12N	1	2	0	5	3	0	0	0	2	0	3	0	0	0	0	0	2	3	0	3	2	1	0	0
BRCA_TCGA-C8-A12O	1	2	3	10	7	0	0	1	0	1	0	0	1	0	3	2	4	1	0	3	0	4	5	1
BRCA_TCGA-C8-A12P	3	4	13	10	5	3	2	0	4	2	4	0	3	0	9	49	0	64	4	2	10	7	4	0
BRCA_TCGA-C8-A12Q	3	3	13	4	0	3	0	1	3	4	0	0	3	4	10	38	0	42	0	0	7	0	0	1
BRCA_TCGA-C8-A12T	7	3	9	2	9	4	0	1	0	0	2	0	4	0	8	64	0	101	0	0	0	0	0	0
BRCA_TCGA-C8-A12U	0	1	0	13	4	4	0	0	0	1	0	2	6	0	0	5	3	6	0	2	2	8	3	1
BRCA_TCGA-C8-A12V	0	0	2	0	5	2	2	5	0	2	3	1	2	2	0	1	3	4	2	0	0	8	7	1
BRCA_TCGA-C8-A12W	1	3	7	13	12	3	0	0	4	1	1	3	3	2	0	0	3	5	0	0	0	8	6	2
BRCA_TCGA-C8-A12X	0	6	4	11	1	1	0	1	0	2	3	1	4	0	6	0	6	2	3	0	4	1	5	4
BRCA_TCGA-C8-A12Y	0	11	2	2	6	2	2	3	2	5	4	0	0	0	0	2	0	1	0	0	2	1	0	1
BRCA_TCGA-C8-A12Z	1	3	3	6	3	3	0	0	2	2	2	0	1	0	9	7	0	12	0	0	0	7	0	0
BRCA_TCGA-C8-A130	0	4	6	7	9	0	0	0	1	6	2	0	1	0	0	2	0	5	2	0	0	2	1	6
BRCA_TCGA-C8-A131	1	7	7	0	2	1	0	0	1	1	4	1	5	2	6	11	7	0	2	3	2	6	1	4
